Symbol,Current Price
ALBO,25.024999618530273
ALC,83.14749908447266
ALCC,9.890000343322754
ALCO,35.9900016784668
ALDX,8.029999732971191
ALE,62.69499969482422
ALEC,21.90999984741211
ALEX,23.81999969482422
ALF,4.369999885559082
ALG,153.5
ALGM,32.470001220703125
ALGN,680.4299926757812
ALGS,16.610000610351562
ALGT,183.27499389648438
ALHC,21.979999542236328
ALIM,5.555099964141846
ALIT,10.699999809265137
ALJJ,1.1518000364303589
ALK,52.060001373291016
ALKS,23.270000457763672
ALKT,29.104999542236328
ALL,112.00499725341797
ALLE,135.02000427246094
ALLK,82.68499755859375
ALLO,18.3700008392334
ALLT,11.829999923706055
ALLY,48.02000045776367
ALNA,0.7699999809265137
ALNY,186.50999450683594
ALOT,17.959999084472656
ALPA,9.720000267028809
