Symbol,Company,Industry,Market Cap
IVC,Invacare,Health Care Equipment & Supplies,130.97M
IVR,Invesco Mortgage Capital,"Mortgage Real Estate Investment 
Trus...",955.49M
IVT,InvenTrust Properties,REIT-Retail,1.71B
IVZ,Invesco,Capital Markets,11.13B
IX,ORIX Corporation,Diversified Financial Services,24.80B
IZEA,IZEA Worldwide,Interactive Media & Services,112.34M
J,Jacobs Engineering,Construction & Engineering,18.53B
JACK,Jack in the Box,"Hotels, Restaurants & Leisure",2.01B
JAGX,Jaguar Health,Pharmaceuticals,64.29M
JAKK,JAKKS Pacific,Leisure Products,108.72M
JAMF,Jamf Holding,Software,3.71B
JAN,JanOne,Commercial Services & Supplies,13.91M
JANX,Janux Therapeutics,Biotechnology,735.28M
JAQC,Jupiter Acquisition,Blank Check / SPAC,197.09M
JATT,JATT Acquisition,Blank Check / SPAC,148.50M
JAZZ,Jazz Pharmaceuticals,Pharmaceuticals,7.32B
JBGS,JBG SMITH Properties,"Equity Real Estate 
Investment Trusts...",3.88B
JBHT,J.B. Hunt,Road & Rail,20.98B
JBI,Janus International Group,Building Products & Equipment,1.87B
JBL,Jabil,"Electronic Equipment, Instruments & C...",8.89B
JBLU,JetBlue Airways,Airlines,4.59B
JBSS,John B. Sanfilippo & Son,Food Products,972.73M
JBT,John Bean Technologies,Machinery,5.48B
JCI,Johnson Controls,Building Products,55.48B
JCIC,Jack Creek Investment,Blank Check / SPAC,421.76M
JCS,Communications Systems,Communications Equipment,30.95M
JCTCF,Jewett-Cameron Trading,Building Products,36.29M
JD,JD.com,Internet & Direct Marketing Retail,139.01B
JEF,Jefferies Financial Group,Diversified Financial Services,9.87B
JELD,JELD-WEN Holding,Building Products,2.38B
JFIN,Jiayin Group,Consumer Finance,210.64M
JFU,9F Inc.,Interactive Media & Services,423.79M
JG,Aurora Mobile,Software,175.27M
JHG,Janus Henderson Group,Capital Markets,7.92B
JHX,James Hardie Industries,Construction Materials,17.81B
JILL,"J.Jill, Inc.",Specialty Retail,166.64M
JJSF,J & J Snack Foods,Food Products,2.83B
JKHY,Jack Henry & Associates,IT Services,11.36B
JKS,JinkoSolar Holding,Semiconductors & Semiconductor Equipment,2.80B
JLL,Jones Lang LaSalle,Real Estate Management & Development,13.19B
JMIA,Jumia Technologies AG,Internet & Direct Marketing Retail,1.24B
JNCE,Jounce Therapeutics,Biotechnology,407.39M
JNJ,Johnson & Johnson,Pharmaceuticals,419.93B
JNPR,Juniper Networks,Communications Equipment,10.44B
JOAN,JOANN,Specialty Retail,408.11M
JOB,GEE Group,Professional Services,50.49M
JOBS,51job,Professional Services,3.60B
JOBY,Joby Aviation,Airports & Air Services,4.81B
JOE,The St. Joe Company,Real Estate Management & Development,3.02B
JOFF,JOFF Fintech Acquisition,Blank Check / SPAC,504.05M
JOUT,Johnson Outdoors,Leisure Products,1.10B
JP,Jupai Holdings,Capital Markets,33.89M
JPM,JPMorgan Chase,Banks,500.03B
JRJC,China Finance Online,Capital Markets,15.91M
JRSH,Jerash Holdings,"Textiles, Apparel & Luxury Goods",89.05M
JRVR,James River Group Holdings,Insurance,1.06B
JSPR,Jasper Therapeutics,Biotechnology,38.44M
JT,Jianpu Technology,Consumer Finance,24.99M
JUGG,JAWS Juggernaut Acquisition,Blank Check / SPAC,340.17M
JUPW,Jupiter Wellness,Drug Manufacturers-Specialty & Generic,32.76M
JVA,Coffee Holding Co.,Food Products,25.46M
JW.A,John Wiley & Sons,Media,3.08B
JW.B,John Wiley & Sons,Publishing,3.09B
JWEL,Jowell Global,Internet Retail,327.30M
JWN,Nordstrom,Multiline Retail,4.94B
JWSM,Jaws Mustang Acquisition,Blank Check / SPAC,1.28B
JXN,Jackson Financial,Asset Management,3.27B
JYAC,Jiya Acquisition,Blank Check / SPAC,136.96M
JYNT,The Joint Corp.,Health Care Providers & Services,1.21B
JZXN,Jiuzi Holdings,Auto & Truck Dealerships,46.07M
K,Kellogg,Food Products,21.51B
KAHC,KKR Acquisition Holdings I,Blank Check / SPAC,1.70B
KAI,Kadant,Machinery,2.75B
KAII,Kismet Acquisition Two,Blank Check / SPAC,285.19M
KAIR,Kairos Acquisition,Blank Check / SPAC,336.38M
KALA,Kala Pharmaceuticals,Pharmaceuticals,118.25M
KALU,Kaiser Aluminum,Metals & Mining,1.63B
KALV,KalVista Pharmaceuticals,Biotechnology,385.87M
KAMN,Kaman Corporation,Trading Companies & Distributors,1.10B
KAR,KAR Auction Services,Commercial Services & Supplies,1.84B
KARO,Karooooo,Software-Application,1.01B
KAVL,Kaival Brands Innovations Group,Tobacco,36.97M
KB,KB Financial Group,Banks,18.86B
KBAL,Kimball International,Commercial Services & Supplies,410.64M
KBH,KB Home,Household Durables,3.74B
KBNT,Kubient,Software-Application,36.77M
KBR,"KBR, Inc.",IT Services,6.55B
KC,Kingsoft Cloud Holdings,IT Services,4.91B
KCGI,Kensington Capital Acquisition V,Blank Check / SPAC,302.88M
KD,Kyndryl Holdings,Information Technology Services,3.95B
KDNY,Chinook Therapeutics,Biotechnology,882.52M
KDP,Keurig Dr Pepper,Beverages,50.90B
KE,Kimball Electronics,"Electronic Equipment, Instruments & C...",597.40M
KELYA,Kelly Services,Professional Services,724.22M
KELYB,Kelly Services,Professional Services,692.07M
KEN,Kenon Holdings,Independent Power and Renewable Elect...,2.46B
KEP,Korea Electric Power,Electric Utilities,12.06B
KEQU,Kewaunee Scientific,Health Care Equipment & Supplies,35.35M
KERN,Akerna,Professional Services,72.95M
KEX,Kirby Corporation,Marine,3.40B
KEY,KeyCorp,Banks,22.26B
KEYS,Keysight Technologies,"Electronic Equipment, Instruments & C...",35.48B
KFFB,Kentucky First Federal Bancorp,Thrifts & Mortgage Finance,58.24M
KFRC,Kforce,Professional Services,1.72B
KFS,Kingsway Financial Services,Insurance,133.11M
KFY,Korn Ferry,Professional Services,4.38B
KGC,Kinross Gold,Metals & Mining,7.88B
KHC,Kraft Heinz,Food Products,44.05B
KIDS,OrthoPediatrics,Health Care Equipment & Supplies,1.18B
KIII,Kismet Acquisition Three,Blank Check / SPAC,355.27M
KIM,Kimco Realty,"Equity Real Estate 
Investment Trusts...",15.00B
KIND,Nextdoor,Shell Companies,556.01M
KINS,Kingstone Companies,Insurance,52.38M
KINZ,Kins Technology Group,Blank Check / SPAC,343.97M
KIQ,Kelso Technologies,Machinery,30.67M
KIRK,Kirkland's,Specialty Retail,324.11M
KKR,KKR & Co.,Capital Markets,45.18B
KL,Kirkland Lake Gold,Metals & Mining,10.78B
KLAC,KLA Corporation,Semiconductors & Semiconductor Equipment,61.54B
KLAQ,KL Acquisition,Blank Check / SPAC,350.75M
KLDO,Kaleido Biosciences,Pharmaceuticals,169.95M
KLIC,Kulicke & Soffa Industries,Semiconductors & Semiconductor Equipment,3.70B
KLR,Kaleyra,Software,477.27M
KLTR,Kaltura,Software-Infrastructure,622.95M
KLXE,KLX Energy Services,Energy Equipment & Services,34.01M
KMB,Kimberly-Clark,Household Products,45.67B
KMDA,Kamada,Biotechnology,283.27M
KMI,Kinder Morgan,"Oil, Gas & Consumable Fuels",37.08B
KMPH,KemPharm,Pharmaceuticals,283.97M
KMPR,Kemper Corporation,Insurance,3.78B
KMT,Kennametal,Machinery,3.28B
KMX,CarMax,Specialty Retail,23.42B
KN,Knowles Corporation,"Electronic Equipment, Instruments & C...",2.05B
KNBE,KnowBe4,Software-Infrastructure,3.93B
KNDI,Kandi Technologies,Auto Components,312.25M
KNOP,KNOT Offshore Partners,"Oil, Gas & Consumable Fuels",567.21M
KNSA,Kiniksa Pharmaceuticals,Biotechnology,801.17M
KNSL,Kinsale Capital Group,Insurance,4.88B
KNTE,Kinnate Biopharma,Biotechnology,845.52M
KNX,Knight-Swift Transportation,Road & Rail,9.73B
KO,Coca-Cola,Beverages,240.81B
KOD,Kodiak Sciences,Biotechnology,5.01B
KODK,Eastman Kodak,"Technology Hardware, Storage & Periph...",508.09M
KOF,Coca-Cola Femsa,Beverages,11.23B
KOP,Koppers Holdings,Chemicals,705.56M
KOPN,Kopin Corporation,Semiconductors & Semiconductor Equipment,490.45M
KOR,Corvus Gold,Gold,405.14M
KORE,KORE Group Holdings,Shell Companies,215.75M
KOS,Kosmos Energy,"Oil, Gas & Consumable Fuels",1.69B
KOSS,Koss Corporation,Household Durables,134.67M
KPLT,Katapult,Software-Infrastructure,369.91M
KPRX,Kiora Pharmaceuticals,Pharmaceuticals,17.78M
KPTI,Karyopharm Therapeutics,Biotechnology,566.98M
KR,The Kroger Company,Food & Staples Retailing,32.17B
KRA,Kraton,Chemicals,1.48B
KRBP,Kiromic BioPharma,Biotechnology,39.67M
KRC,Kilroy Realty,"Equity Real Estate 
Investment Trusts...",8.15B
KREF,KKR Real Estate Finance Trust,"Mortgage Real Estate Investment 
Trus...",1.30B
KRG,Kite Realty Group Trust,"Equity Real Estate 
Investment Trusts...",4.94B
KRKR,36Kr Holdings,Interactive Media & Services,55.90M
KRMD,Repro Med Systems,Health Care Equipment & Supplies,156.41M
KRNL,Kernel Group Holdings,Blank Check / SPAC,372.18M
KRNT,Kornit Digital,Machinery,7.72B
KRNY,Kearny Financial,Thrifts & Mortgage Finance,1.00B
KRO,Kronos Worldwide,Chemicals,1.73B
KRON,Kronos Bio,Biotechnology,774.78M
KROS,Keros Therapeutics,Biotechnology,1.38B
KRP,Kimbell Royalty Partners,"Oil, Gas & Consumable Fuels",914.68M
KRT,Karat Packaging,Packaging & Containers,422.38M
KRTX,Karuna Therapeutics,Biotechnology,3.83B
KRUS,Kura Sushi USA,"Hotels, Restaurants & Leisure",671.11M
KRYS,Krystal Biotech,Biotechnology,934.44M
KSI,Kadem Sustainable Impact,Blank Check / SPAC,212.84M
KSPN,Kaspien Holdings,Specialty Retail,35.39M
KSS,Kohl's,Multiline Retail,8.37B
KSU,Kansas City Southern,Road & Rail,27.68B
KT,KT Corporation,Diversified Telecommunication Services,6.07B
KTB,Kontoor Brands,"Textiles, Apparel & Luxury Goods",3.43B
KTCC,Key Tronic,"Electronic Equipment, Instruments & C...",65.86M
KTOS,Kratos Defense & Security Solutions,Aerospace & Defense,2.49B
KTRA,Kintara Therapeutics,Biotechnology,31.54M
KTTA,Pasithea Therapeutics,Biotechnology,91.41M
KUKE,Kuke Music,Entertainment,124.18M
KULR,KULR Technology Group,Electronic Components,311.21M
KURA,Kura Oncology,Biotechnology,1.09B
KVHI,KVH Industries,Communications Equipment,198.06M
KVSA,Khosla Ventures Acquisition,Blank Check / SPAC,399.03M
KVSC,Khosla Ventures Acquisition III,Blank Check / SPAC,668.76M
KW,Kennedy-Wilson Holdings,Real Estate Management & Development,3.24B
KWAC,Kingswood Acquisition,Blank Check / SPAC,146.53M
KWR,Quaker Chemical,Chemicals,4.41B
KXIN,Kaixin Auto,Specialty Retail,259.66M
KYMR,Kymera Therapeutics,Biotechnology,2.88B
KZIA,Kazia Therapeutics,Biotechnology,147.67M
KZR,Kezar Life Sciences,Biotechnology,653.65M
L,Loews,Insurance,14.59B
LAAA,Lakeshore Acquisition I,Blank Check / SPAC,69.75M
LABP,Landos Biopharma,Biotechnology,340.05M
LAC,Lithium Americas,Metals & Mining,4.36B
LAD,Lithia Motors,Specialty Retail,8.85B
LADR,Ladder Capital,"Mortgage Real Estate Investment 
Trus...",1.51B
LAIX,LAIX Inc.,Diversified Consumer Services,41.42M
LAKE,Lakeland Industries,"Textiles, Apparel & Luxury Goods",148.85M
LAMR,Lamar Advertising,"Equity Real Estate 
Investment Trusts...",11.54B
LANC,Lancaster Colony,Food Products,4.47B
LAND,Gladstone Land,"Equity Real Estate 
Investment Trusts...",971.56M
LARK,Landmark Bancorp,Banks,138.85M
LASR,"nLIGHT, Inc.","Electronic Equipment, Instruments & C...",1.18B
LAUR,Laureate Education,Diversified Consumer Services,2.02B
LAW,CS Disco,Software-Application,2.28B
LAWS,Lawson Products,Trading Companies & Distributors,457.46M
LAZ,Lazard,Capital Markets,4.80B
LAZR,Luminar Technologies,Software-Application,6.49B
LAZY,Lazydays Holdings,Specialty Retail,241.01M
LBAI,Lakeland Bancorp,Banks,957.47M
LBC,Luther Burbank,Thrifts & Mortgage Finance,745.34M
LBPH,Longboard Pharmaceuticals,Biotechnology,102.26M
LBPS,4D pharma,Biotechnology,155.52M
LBRDA,Liberty Broadband,Media,28.67B
LBRDK,Liberty Broadband,Media,28.96B
LBRT,Liberty Oilfield Services,Energy Equipment & Services,1.83B
LBTYA,Liberty Global,Media,15.52B
LBTYB,Liberty Global,Diversified Telecommunication Services,15.15B
LBTYK,Liberty Global,Media,15.60B
LC,LendingClub,Consumer Finance,3.71B
LCA,Landcadia Holdings IV,Blank Check / SPAC,613.13M
LCAA,L Catterton Asia Acquisition,Blank Check / SPAC,349.90M
LCAP,Lionheart Acquisition II,Blank Check / SPAC,292.53M
LCI,Lannett Company,Pharmaceuticals,72.68M
LCID,Lucid Group,Auto Manufacturers,83.17B
LCII,LCI Industries,Auto Components,4.06B
LCNB,LCNB Corporation,Banks,281.89M
LCTX,Lineage Cell Therapeutics,Biotechnology,364.09M
LCUT,Lifetime Brands,Household Durables,388.18M
LDHA,LDH Growth I,Blank Check / SPAC,282.90M
LDI,loanDepot,Mortgage Finance,1.79B
LDOS,Leidos Holdings,IT Services,13.07B
LE,Lands' End,Internet & Direct Marketing Retail,889.00M
LEA,Lear Corporation,Auto Components,10.65B
LEAP,Ribbit LEAP,Shell Companies,470.99M
LECO,Lincoln Electric Holdings,Machinery,8.63B
LEDS,SemiLEDs,Semiconductors & Semiconductor Equipment,30.18M
LEE,Lee Enterprises,Media,141.92M
LEG,Leggett & Platt,Household Durables,5.73B
LEGA,Lead Edge Growth Opportunities,Blank Check / SPAC,421.76M
LEGH,Legacy Housing,Household Durables,621.22M
LEGN,Legend Biotech,Biotechnology,7.08B
LEJU,Leju Holdings,Internet & Direct Marketing Retail,146.37M
LEN,Lennar,Household Durables,33.24B
LEN.B,Lennar,Construction & Engineering,33.19B
LESL,Leslie's,Home Improvement Retail,3.91B
LEU,Centrus Energy,"Oil, Gas & Consumable Fuels",893.32M
LEV,Lion Electric,Farm & Heavy Construction Machinery,2.10B
LEVI,Levi Strauss & Co.,"Textiles, Apparel & Luxury Goods",11.21B
LEVL,Level One Bancorp,Banks,307.76M
LEXX,Lexaria Bioscience,Biotechnology,30.53M
LFC,China Life Insurance,Insurance,108.00B
LFG,Archaea Energy,Utilities-Renewable,1.06B
LFMD,LifeMD,Pharmaceutical Retailers,125.13M
LFST,Lifestance Health Group,Medical Care Facilities,3.11B
LFT,Lument Finance Trust,REIT-Mortgage,99.04M
LFTR,Lefteris Acquisition,Blank Check / SPAC,255.25M
LFUS,Littelfuse,"Electronic Equipment, Instruments & C...",7.73B
LFVN,LifeVantage Corporation,Personal Products,96.68M
LGAC,Lazard Growth Acquisition I,Blank Check / SPAC,702.22M
LGF.A,Lions Gate Entertainment,Entertainment,3.41B
LGF.B,Lions Gate Entertainment,Entertainment,3.41B
LGHL,Lion Group Holding,Asset Management,83.24M
LGIH,LGI Homes,Household Durables,3.56B
LGL,LGL Group,"Electronic Equipment, Instruments & C...",64.00M
LGND,Ligand Pharmaceuticals,Biotechnology,2.65B
LGO,Largo,Other Industrial Metals & Mining,677.02M
LGV,Longview Acquisition II,Blank Check / SPAC,857.32M
LGVN,Longeveron,Biotechnology,337.56M
LH,Laboratory Corporation of America Holdings,Health Care Providers & Services,27.06B
LHAA,Lerer Hippeau Acquisition,Blank Check / SPAC,287.36M
LHC,Leo Holdings II,Blank Check / SPAC,459.38M
LHCG,LHC Group,Health Care Providers & Services,4.08B
LHDX,Lucira Health,Medical Devices,214.52M
LHX,L3Harris Technologies,Aerospace & Defense,43.59B
LI,Li Auto,Automobiles,33.76B
LIAN,LianBio,Biotechnology,1.59B
LICY,Li-Cycle,Waste Management,2.04B
LIDR,AEye,Auto Parts,726.60M
LIFE,aTyr Pharma,Biotechnology,221.21M
LII,Lennox International,Building Products,11.77B
LIII,Leo Holdings III,Blank Check / SPAC,324.84M
LILA,Liberty Latin America,Diversified Telecommunication Services,2.80B
LILAK,Liberty Latin America,Media,2.81B
LILM,Lilium,Aerospace & Defense,2.21B
LIN,Linde,Chemicals,168.79B
LINC,Lincoln Educational Services,Diversified Consumer Services,189.00M
LIND,Lindblad Expeditions,"Hotels, Restaurants & Leisure",780.11M
LIQT,LiqTech International,Machinery,111.26M
LITB,LightInTheBox,Internet & Direct Marketing Retail,174.65M
LITE,Lumentum Holdings,Communications Equipment,6.43B
LITM,Snow Lake Resources,Metals & Mining,120.28M
LITT,Logistics Innovation Technologies,Shell Companies,412.91M
LIVE,Live Ventures,Household Durables,53.35M
LIVN,LivaNova,Health Care Equipment & Supplies,4.55B
LIXT,Lixte Biotechnology,Biotechnology,21.58M
LIZI,Lizhi Inc.,Internet Content & Information,129.22M
LJAQ,LightJump Acquisition,Blank Check / SPAC,171.44M
LJPC,La Jolla Pharmaceutical,Biotechnology,128.26M
LKCO,Luokung Technology,Interactive Media & Services,353.72M
LKFN,Lakeland Financial,Banks,1.89B
LKQ,LKQ Corporation,Distributors,17.36B
LL,Lumber Liquidators,Specialty Retail,484.03M
LLL,JX Luxventure,Apparel Manufacturing,0.00
LLNW,Limelight Networks,IT Services,392.07M
LLY,Eli Lilly,Pharmaceuticals,249.57B
LMACA,Liberty Media Acquisition,Blank Check / SPAC,744.62M
LMAO,LMF Acquisition Opportunities,Blank Check / SPAC,130.80M
LMAT,LeMaitre Vascular,Health Care Equipment & Supplies,1.08B
LMB,Limbach Holdings,Construction & Engineering,69.86M
LMDX,LumiraDx,Diagnostics & Research,0.00
LMFA,LM Funding America,Diversified Financial Services,74.67M
LMND,Lemonade,Insurance,3.03B
LMNL,Liminal BioSciences,Biotechnology,36.56M
LMNR,Limoneira,Food Products,282.26M
LMPX,LMP Automotive Holdings,Specialty Retail,117.84M
LMRK,Landmark Infrastructure Partners,Real Estate Management & Development,414.20M
LMST,Limestone Bancorp,Banks,144.44M
LMT,Lockheed Martin,Aerospace & Defense,95.38B
LNC,Lincoln National,Insurance,13.01B
LND,BrasilAgro,Food Products,439.42M
LNDC,Landec,Food Products,276.94M
LNFA,L&F Acquisition,Blank Check / SPAC,216.70M
LNG,Cheniere Energy,"Oil, Gas & Consumable Fuels",26.63B
LNN,Lindsay Corporation,Machinery,1.72B
LNSR,"LENSAR, Inc",Medical Devices,76.70M
LNT,Alliant Energy,Electric Utilities,14.50B
LNTH,Lantheus Holdings,Health Care Equipment & Supplies,1.94B
LOAN,Manhattan Bridge Capital,"Mortgage Real Estate Investment 
Trus...",67.02M
LOB,Live Oak Bancshares,Banks,4.20B
LOCC,Live Oak Crestview Climate Acquisition,Blank Check / SPAC,242.50M
LOCO,El Pollo Loco,"Hotels, Restaurants & Leisure",515.51M
LODE,Comstock Mining,Metals & Mining,112.96M
LOGC,LogicBio Therapeutics,Biotechnology,101.72M
LOGI,Logitech International,"Technology Hardware, Storage & Periph...",13.57B
LOKM,Live Oak Mobility Acquisition,Blank Check / SPAC,309.93M
LOMA,Loma Negra,Construction Materials,1.56B
LOOP,Loop Industries,Chemicals,647.04M
LOPE,Grand Canyon Education,Diversified Consumer Services,3.06B
LOTZ,CarLotz,Auto & Truck Dealerships,344.80M
LOV,Spark Networks SE,Interactive Media & Services,66.90M
LOVE,Lovesac,Household Durables,1.11B
LOW,Lowe's,Specialty Retail,172.78B
LPCN,Lipocine,Pharmaceuticals,97.12M
LPG,Dorian LPG,"Oil, Gas & Consumable Fuels",529.05M
LPI,Laredo Petroleum,"Oil, Gas & Consumable Fuels",1.13B
LPL,LG Display,"Electronic Equipment, Instruments & C...",6.75B
LPLA,LPL Financial Holdings,Capital Markets,13.43B
LPRO,Open Lending Corp.,Capital Markets,3.19B
LPSN,LivePerson,Software,2.82B
LPTH,LightPath Technologies,"Electronic Equipment, Instruments & C...",50.72M
LPTX,Leap Therapeutics,Biotechnology,186.35M
LPX,Louisiana-Pacific,Paper & Forest Products,6.21B
LQDA,Liquidia Corporation,Pharmaceuticals,203.49M
LQDT,Liquidity Services,Internet & Direct Marketing Retail,875.45M
LRCX,Lam Research,Semiconductors & Semiconductor Equipment,92.23B
LRFC,Logan Ridge Finance,Asset Management,68.59M
LRMR,Larimar Therapeutics,Biotechnology,182.35M
LRN,Stride,Diversified Consumer Services,1.54B
LSBK,Lake Shore Bancorp,Thrifts & Mortgage Finance,86.86M
LSCC,Lattice Semiconductor,Semiconductors & Semiconductor Equipment,10.76B
LSEA,Landsea Homes,Real Estate-Development,380.43M
LSF,Laird Superfood,Packaged Foods,135.45M
LSI,Life Storage,"Equity Real Estate 
Investment Trusts...",10.91B
LSPD,Lightspeed Commerce,Software,8.15B
LSTR,Landstar System,Road & Rail,6.66B
LTBR,Lightbridge,Professional Services,75.98M
LTC,LTC Properties,"Equity Real Estate 
Investment Trusts...",1.33B
LTCH,Latch,Software-Application,1.13B
LTH,Life Time Group,Leisure,4.06B
LTHM,Livent,Chemicals,4.87B
LTRN,Lantern Pharma,Biotechnology,97.22M
LTRPA,Liberty TripAdvisor Holdings,Interactive Media & Services,246.84M
LTRPB,Liberty TripAdvisor Holdings,Interactive Media & Services,298.66M
LTRX,Lantronix,Communications Equipment,216.81M
LTRY,Lottery.com,Gambling,366.83M
LU,Lufax Holding,Consumer Finance,16.80B
LUB,"Luby's, Inc.","Hotels, Restaurants & Leisure",91.05M
LUCD,Lucid Diagnostics,Medical Devices,290.02M
LULU,Lululemon Athletica,"Textiles, Apparel & Luxury Goods",61.78B
LUMN,Lumen Technologies,Diversified Telecommunication Services,14.19B
LUMO,Lumos Pharma,Biotechnology,64.35M
LUNA,Luna Innovations,"Electronic Equipment, Instruments & C...",282.69M
LUNG,Pulmonx,Health Care Equipment & Supplies,1.27B
LUV,Southwest Airlines,Airlines,28.01B
LUXA,Lux Health Tech Acquisition,Blank Check / SPAC,423.96M
LVLU,Lulu's Fashion Lounge,Apparel Retail,517.50M
LVO,LiveOne,Entertainment,159.84M
LVOX,LiveVox Holding,Software-Infrastructure,426.77M
LVRA,Levere Holdings,Blank Check / SPAC,329.73M
LVS,Las Vegas Sands,"Hotels, Restaurants & Leisure",30.62B
LVTX,LAVA Therapeutics,Biotechnology,178.11M
LW,Lamb Weston,Food Products,8.44B
LWAY,Lifeway Foods,Food Products,82.42M
LWLG,Lightwave Logic,Chemicals,1.37B
LX,LexinFintech Holdings,Consumer Finance,848.76M
LXEH,Lixiang Education,Education & Training Services,125.07M
LXFR,Luxfer Holdings,Machinery,583.74M
LXP,Lexington Realty Trust,"Equity Real Estate 
Investment Trusts...",4.38B
LXRX,Lexicon Pharmaceuticals,Biotechnology,740.01M
LXU,LSB Industries,Chemicals,905.30M
LYB,LyondellBasell Industries,Chemicals,31.18B
LYEL,Lyell Immunopharma,Biotechnology,2.22B
LYFT,Lyft,Road & Rail,15.46B
LYG,Lloyds Banking Group,Banks,47.02B
LYL,Dragon Victory International,Consumer Finance,29.31M
LYLT,Loyalty Ventures,Software-Infrastructure,807.34M
LYRA,Lyra Therapeutics,Biotechnology,73.28M
LYTS,LSI Industries,Electrical Equipment,205.72M
LYV,Live Nation Entertainment,Entertainment,25.23B
LZ,LegalZoom.com,Internet Content & Information,3.57B
LZB,La-Z-Boy Incorporated,Household Durables,1.55B
M,Macy's,Multiline Retail,10.23B
MA,Mastercard,IT Services,330.46B
MAA,Mid-America Apartment Communities,"Equity Real Estate 
Investment Trusts...",23.65B
MAC,Macerich,"Equity Real Estate 
Investment Trusts...",4.58B
MACA,Moringa Acquisition,Blank Check / SPAC,261.64M
MACC,Mission Advancement,Blank Check / SPAC,420.47M
MACK,Merrimack Pharmaceuticals,Biotechnology,57.40M
MACQ,MCAP Acquisition,Blank Check / SPAC,394.13M
MACU,Mallard Acquisition,Blank Check / SPAC,137.50M
MAG,MAG Silver,Metals & Mining,0.00
MAIN,Main Street Capital,Capital Markets,3.24B
MAN,ManpowerGroup,Professional Services,5.33B
MANH,Manhattan Associates,Software,10.17B
MANT,ManTech International,IT Services,3.00B
MANU,Manchester United,Entertainment,2.56B
MAPS,WM Technology,Software-Application,496.52M
MAQC,Maquia Capital Acquisition,Blank Check / SPAC,224.72M
MAR,Marriott International,"Hotels, Restaurants & Leisure",51.25B
MARA,Marathon Digital Holdings,IT Services,5.42B
MARK,Remark Holdings,Internet & Direct Marketing Retail,135.13M
MARPS,Marine Petroleum Trust,"Oil, Gas & Consumable Fuels",9.80M
MAS,Masco,Building Products,16.61B
MASI,Masimo,Health Care Equipment & Supplies,15.68B
MASS,908 Devices,Medical Devices,731.23M
MAT,Mattel,Leisure Products,7.74B
MATW,Matthews International,Commercial Services & Supplies,1.20B
MATX,Matson,Marine,3.73B
MAX,MediaAlpha,Internet Content & Information,883.13M
MAXN,Maxeon Solar Technologies,Semiconductors & Semiconductor Equipment,891.00M
MAXR,Maxar Technologies,Aerospace & Defense,2.14B
MAYS,J.W. Mays,Real Estate Management & Development,76.44M
MBAC,M3-Brigade Acquisition II,Blank Check / SPAC,495.75M
MBCN,Middlefield Banc,Banks,162.75M
MBI,MBIA Inc.,Insurance,703.75M
MBII,Marrone Bio Innovations,Chemicals,125.92M
MBIN,Merchants Bancorp,Thrifts & Mortgage Finance,1.39B
MBIO,Mustang Bio,Biotechnology,196.89M
MBOT,Microbot Medical,Health Care Equipment & Supplies,39.38M
MBRX,Moleculin Biotech,Biotechnology,57.58M
MBT,Mobile TeleSystems PJSC,Wireless Telecommunication Services,7.17B
MBTC,Nocturne Acquisition,Blank Check / SPAC,149.29M
MBUU,Malibu Boats,Leisure Products,1.52B
MBWM,Mercantile Bank,Banks,573.86M
MC,Moelis & Company,Capital Markets,4.58B
MCAE,Mountain Crest Acquisition III,Blank Check / SPAC,69.77M
MCAF,Mountain Crest Acquisition IV,Blank Check / SPAC,74.37M
MCB,Metropolitan Bank Holding,Banks,1.08B
MCBC,Macatawa Bank,Banks,304.63M
MCBS,MetroCity Bankshares,Banks,736.07M
MCD,McDonald's,"Hotels, Restaurants & Leisure",189.79B
MCF,Contango Oil & Gas,"Oil, Gas & Consumable Fuels",751.41M
MCFE,McAfee,Software,4.68B
MCFT,MasterCraft Boat Holdings,Leisure Products,537.49M
MCG,Membership Collective Group,Lodging,2.56B
MCHP,Microchip Technology,Semiconductors & Semiconductor Equipment,46.30B
MCHX,Marchex,Media,104.30M
MCK,McKesson,Health Care Providers & Services,34.17B
MCMJ,Merida Merger Corp. I,Shell Companies,164.29M
MCO,Moody's,Capital Markets,71.27B
MCRB,Seres Therapeutics,Biotechnology,850.04M
MCRI,Monarch Casino & Resort,"Hotels, Restaurants & Leisure",1.33B
MCS,Marcus Corporation,Entertainment,611.11M
MCW,Mister Car Wash,Personal Services,4.82B
MCY,Mercury General,Insurance,2.89B
MD,"MEDNAX, Inc.",Health Care Providers & Services,2.28B
MDB,MongoDB,IT Services,33.03B
MDC,M.D.C. Holdings,Household Durables,3.56B
MDGL,Madrigal Pharmaceuticals,Biotechnology,1.38B
MDGS,Medigus,Health Care Equipment & Supplies,28.86M
MDH,MDH Acquisition,Blank Check / SPAC,341.21M
MDIA,Mediaco Holding,Broadcasting,45.47M
MDJH,MDJM Ltd.,Real Estate Management & Development,34.91M
MDLZ,Mondelez International,Food Products,85.54B
MDNA,Medicenna Therapeutics,Biotechnology,108.56M
MDP,Meredith Corporation,Media,2.70B
MDRR,Medalist Diversified REIT,"Equity Real Estate 
Investment Trusts...",17.89M
MDRX,Allscripts Healthcare Solutions,Health Care Technology,2.14B
MDT,Medtronic,Health Care Equipment & Supplies,152.51B
MDU,MDU Resources Group,Multi-Utilities,5.91B
MDVL,MedAvail Holdings,Drug Manufacturers-Specialty & Generic,60.77M
