Symbol,Company,Industry,Market Cap
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,303.44M
AFYA,Afya,Diversified Consumer Services,1.21B
AG,First Majestic Silver,Metals & Mining,3.14B
AGAC,African Gold Acquisition,Blank Check / SPAC,502.49M
AGBA,AGBA Acquisition,Blank Check / SPAC,58.77M
AGC,Altimeter Growth Corp.,Blank Check / SPAC,856.25M
AGCB,Altimeter Growth 2,Blank Check / SPAC,592.10M
AGCO,AGCO Corporation,Machinery,9.04B
AGE,AgeX Therapeutics,Biotechnology,30.38M
AGEN,Agenus,Biotechnology,837.27M
AGFS,AgroFresh Solutions,Chemicals,101.55M
AGFY,Agrify,Machinery,336.95M
AGGR,Agile Growth,Blank Check / SPAC,378.59M
AGI,Alamos Gold,Metals & Mining,3.08B
AGIL,AgileThought,Software-Application,352.25M
AGIO,Agios Pharmaceuticals,Biotechnology,2.02B
AGL,agilon health,Medical Care Facilities,8.71B
AGLE,Aeglea Biotherapeutics,Biotechnology,314.66M
AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1.39B
AGM.A,Federal Agricultural Mortgage,Credit Services,1.25B
AGMH,AGM Group Holdings,Capital Markets,215.70M
AGNC,AGNC Investment,"Mortgage Real Estate Investment 
Trus...",8.42B
AGO,Assured Guaranty,Insurance,3.77B
AGR,Avangrid,Electric Utilities,20.13B
AGRI,AgriFORCE Growing Systems,Farm Products,30.78M
AGRO,Adecoagro,Food Products,920.12M
AGRX,Agile Therapeutics,Pharmaceuticals,71.60M
AGS,PlayAGS,"Hotels, Restaurants & Leisure",268.84M
AGTC,Applied Genetic Technologies,Biotechnology,101.37M
AGTI,Agiliti,Health Information Services,2.88B
AGX,Argan,Construction & Engineering,669.17M
AGYS,Agilysys,Software,1.10B
AHCO,AdaptHealth,Health Care Providers & Services,2.92B
AHH,Armada Hoffler Properties,"Equity Real Estate 
Investment Trusts...",919.20M
AHI,Advanced Human Imaging,Software-Application,31.30M
AHPA,Avista Public Acquisition II,Blank Check / SPAC,287.50M
AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,19.86M
AHT,Ashford Hospitality Trust,"Equity Real Estate 
Investment Trusts...",442.15M
AI,C3.ai,Software,3.84B
AIG,American International Group,Insurance,49.12B
AIH,Aesthetic Medical International,Health Care Providers & Services,83.30M
AIHS,Senmiao Technology,Consumer Finance,30.32M
AIKI,AIkido Pharma,Biotechnology,66.62M
AIM,AIM ImmunoTech,Biotechnology,58.85M
